id	category	matched_actions	scene_id	persona_id	query
N001	日历	welink一键入会；跳转日程	calendar_meeting_join	office_worker	上午十点的评审会快开始了，帮我做个会议卡片，能直接入会，也能点开日程看详情。
N002	日历	查询日程；跳转日程	calendar_next_schedule	college_exam_student	下午课排得有点满，做个下一节课小组件，让我一眼看到几点上什么课，点一下能进日程。
N003	天气	查询天气状况	uv_air_quality_prep	urban_fashion_woman	周末要去逛街，帮我做个出门卡片，看看紫外线和空气质量，天气不好就提醒我。
N004	天气	查询天气状况	laundry_rain_check	home_chore_user	衣服刚洗好，做个晾晒小组件，告诉我今天会不会下雨。
N005	备忘录	跳转到备忘录	memo_today_todo	office_worker	今天事情太多，帮我做个待办卡片，把还没做的事和提醒时间放一起，点一下进备忘录。
N006	备忘录	跳转到备忘录；模式切换（免打扰、睡眠、学习）	evening_todo_wrapup	co_renting_young_adult	晚上收工前做个待办小组件，看看今天还剩几件没完成，顺手切到免打扰。
N007	闹钟	查询日程；跳转闹钟	schedule_wakeup_check	college_exam_student	明早八点有考试，帮我做个起床卡片，把闹钟和考试时间放一起，点一下能进闹钟。
N008	闹钟	查询日程；跳转闹钟	bedtime_tomorrow_plan	office_worker	明天一早要开会，睡前给我做个明日安排小组件，能看会议时间，也能检查闹钟。
N009	闹钟	跳转到备忘录；跳转闹钟	memo_timed_reminder	young_chronic_medication_user	我晚上九点要吃药，做个服药提醒卡片，能看备忘内容，也能直接打开闹钟。
N010	闹钟	跳转睡眠页；跳转闹钟	sleep_alarm_adjust	fitness_runner	最近早上总起不来，帮我做个睡眠卡片，看看昨晚睡得怎么样，点一下去调闹钟。
N011	闹钟	跳转到每日30首和收藏页面；跳转闹钟	sleep_music_alarm	gen_z_student	今晚想听歌早点睡，做个睡前小组件，能进收藏歌单，也能打开明早的闹钟。
N012	闹钟	跳转到备忘录；跳转闹钟	pet_fed_tracker	pet_owner	我怕早上忘了喂猫，帮我做个喂猫提醒卡片，记录有没有喂，点一下能看闹钟。
N013	闹钟	跳转闹钟；跳转日程	sleep_next_day_duration_forecast	internet_overtime_worker	今晚又得加班，做个睡眠提醒卡片，根据明早的日程和闹钟让我知道还能睡多久。
N014	电话	拨打电话	missed_call_quick_return	office_worker	开会时漏了电话，帮我做个未接来电卡片，看到是谁后能直接回拨。
N015	电话	拨打电话	important_contact_quick_dial	retired_senior	给我做个家人联系卡片，把女儿放在最显眼的位置，点一下就能打电话。
N016	电话	拨打电话	call_last_record_quick_view	field_sales_worker	客户电话太多了，做个最近通话小组件，看看上次聊了多久，能直接再拨过去。
N017	电池	一键开启省电模式	low_battery_outdoor	delivery_ride_worker	准备跑单了，做个电量卡片，告诉我手机能不能撑到收工，电不够就能开省电模式。
N018	电池	跳转到电池设置页面	pre_sleep_charging_check	forgetful_living_senior	睡觉前帮我做个充电检查卡片，看看手机有没有插上充电器，点一下进电池设置。
N019	运动健康	跳转运动健康首页	post_exercise_summary	fitness_runner	刚跑完五公里，帮我做个运动卡片，看看这次跑了多久、消耗多少，点一下看详情。
N020	运动健康	跳转睡眠页	sleep_supervision	internet_overtime_worker	昨晚又熬夜了，做个睡眠小组件，让我一眼看到睡了多久、睡得好不好，点一下能看睡眠详情。
N021	相机	查询天气状况；跳转到相机界面	weather_photo_prep	freelance_creator	下午想去江边拍照，做个外拍卡片，看看天气和体感温度，点一下能开相机。
N022	相机	跳转到相机界面；跳转到电池设置页面	shooting_battery_check	freelance_creator	准备拍一下午，帮我做个拍摄保障卡片，看看手机电量和温度，能直接开相机或进电池设置。
N023	相机	跳转到备忘录；查询天气状况；跳转到相机界面	photo_trip_check	freelance_creator	周末去山里拍照，做个出发清单卡片，看看天气和器材备忘，点一下打开相机。
